id,brand,description,calories,source
290685,,"Yogurt, nonfat milk, plain (1 container)",85.0,usda
290686,,"Yogurt, nonfat milk, plain (1 cup)",122.5,usda
290688,,"Yogurt, Greek, plain (1 5.3 oz container)",100.5,usda
290689,,"Yogurt, Greek, plain (1 6 oz container)",113.9,usda
290690,,"Yogurt, Greek, plain (1 container)",100.5,usda
290691,,"Yogurt, Greek, plain (1 cup)",164.2,usda
290693,,"Yogurt, Greek, whole milk, plain (1 5.3 oz container)",141.0,usda
290694,,"Yogurt, Greek, whole milk, plain (1 6 oz container)",159.8,usda
290695,,"Yogurt, Greek, whole milk, plain (1 container)",141.0,usda
290696,,"Yogurt, Greek, whole milk, plain (1 cup)",230.3,usda
290698,,"Yogurt, Greek, low fat milk, plain (1 5.3 oz container)",100.5,usda
290699,,"Yogurt, Greek, low fat milk, plain (1 6 oz container)",113.9,usda
290700,,"Yogurt, Greek, low fat milk, plain (1 container)",100.5,usda
290701,,"Yogurt, Greek, low fat milk, plain (1 cup)",164.2,usda
290703,,"Yogurt, Greek, nonfat milk, plain (1 5.3 oz container)",88.5,usda
290704,,"Yogurt, Greek, nonfat milk, plain (1 6 oz container)",100.3,usda
290705,,"Yogurt, Greek, nonfat milk, plain (1 container)",88.5,usda
290706,,"Yogurt, Greek, nonfat milk, plain (1 cup)",144.6,usda
290708,,"Yogurt, fruit (1 4 oz container)",105.1,usda
290709,,"Yogurt, fruit (1 6 oz container)",158.1,usda
290710,,"Yogurt, fruit (1 container)",158.1,usda
290711,,"Yogurt, fruit (1 cup)",227.9,usda
290713,,"Yogurt, whole milk, fruit (1 4 oz container)",119.8,usda
290714,,"Yogurt, whole milk, fruit (1 6 oz container)",180.2,usda
290715,,"Yogurt, whole milk, fruit (1 container)",180.2,usda
290716,,"Yogurt, whole milk, fruit (1 cup)",259.7,usda
290718,,"Yogurt, low fat milk, fruit (1 4 oz container)",105.1,usda
290719,,"Yogurt, low fat milk, fruit (1 6 oz container)",158.1,usda
290720,,"Yogurt, low fat milk, fruit (1 container)",158.1,usda
290721,,"Yogurt, low fat milk, fruit (1 cup)",227.9,usda
290723,,"Yogurt, nonfat milk, fruit (1 4 oz container)",52.0,usda
290724,,"Yogurt, nonfat milk, fruit (1 6 oz container)",78.2,usda
290725,,"Yogurt, nonfat milk, fruit (1 container)",78.2,usda
290726,,"Yogurt, nonfat milk, fruit (1 cup)",112.7,usda
290728,,"Yogurt, Greek, fruit (1 5.3 oz container)",136.5,usda
290729,,"Yogurt, Greek, fruit (1 6 oz container)",154.7,usda
290730,,"Yogurt, Greek, fruit (1 container)",136.5,usda
290731,,"Yogurt, Greek, fruit (1 cup)",223.0,usda
290733,,"Yogurt, Greek, whole milk, fruit (1 5.3 oz container)",171.0,usda
290734,,"Yogurt, Greek, whole milk, fruit (1 6 oz container)",193.8,usda
290735,,"Yogurt, Greek, whole milk, fruit (1 container)",171.0,usda
290736,,"Yogurt, Greek, whole milk, fruit (1 cup)",279.3,usda
290738,,"Yogurt, Greek, low fat milk, fruit (1 5.3 oz container)",136.5,usda
290739,,"Yogurt, Greek, low fat milk, fruit (1 6 oz container)",154.7,usda
290740,,"Yogurt, Greek, low fat milk, fruit (1 container)",136.5,usda
290741,,"Yogurt, Greek, low fat milk, fruit (1 cup)",223.0,usda
290743,,"Yogurt, Greek, nonfat milk, fruit (1 5.3 oz container)",124.5,usda
290744,,"Yogurt, Greek, nonfat milk, fruit (1 6 oz container)",141.1,usda
290745,,"Yogurt, Greek, nonfat milk, fruit (1 container)",124.5,usda
290746,,"Yogurt, Greek, nonfat milk, fruit (1 cup)",203.4,usda
290748,,"Yogurt, flavors other than fruit (1 4 oz container)",92.7,usda
290749,,"Yogurt, flavors other than fruit (1 6 oz container)",139.4,usda
290750,,"Yogurt, flavors other than fruit (1 container)",139.4,usda
290751,,"Yogurt, flavors other than fruit (1 cup)",200.9,usda
290753,,"Yogurt, whole milk, flavors other than fruit (1 4 oz container)",107.4,usda
290754,,"Yogurt, whole milk, flavors other than fruit (1 6 oz container)",161.5,usda
290755,,"Yogurt, whole milk, flavors other than fruit (1 container)",161.5,usda
290756,,"Yogurt, whole milk, flavors other than fruit (1 cup)",232.8,usda
290758,,"Yogurt, low fat milk, flavors other than fruit (1 4 oz container)",92.7,usda
290759,,"Yogurt, low fat milk, flavors other than fruit (1 6 oz container)",139.4,usda
290760,,"Yogurt, low fat milk, flavors other than fruit (1 container)",139.4,usda
290761,,"Yogurt, low fat milk, flavors other than fruit (1 cup)",200.9,usda
290763,,"Yogurt, nonfat milk, flavors other than fruit (1 4 oz container)",53.1,usda
290764,,"Yogurt, nonfat milk, flavors other than fruit (1 6 oz container)",79.9,usda
290765,,"Yogurt, nonfat milk, flavors other than fruit (1 container)",79.9,usda
290766,,"Yogurt, nonfat milk, flavors other than fruit (1 cup)",115.2,usda
290768,,"Yogurt, Greek, flavors other than fruit (1 5.3 oz container)",121.5,usda
290769,,"Yogurt, Greek, flavors other than fruit (1 6 oz container)",137.7,usda
290770,,"Yogurt, Greek, flavors other than fruit (1 container)",121.5,usda
290771,,"Yogurt, Greek, flavors other than fruit (1 cup)",198.5,usda
290773,,"Yogurt, Greek, whole milk, flavors other than fruit (1 5.3 oz container)",156.0,usda
290774,,"Yogurt, Greek, whole milk, flavors other than fruit (1 6 oz container)",176.8,usda
290775,,"Yogurt, Greek, whole milk, flavors other than fruit (1 container)",156.0,usda
290776,,"Yogurt, Greek, whole milk, flavors other than fruit (1 cup)",254.8,usda
290778,,"Yogurt, Greek, low fat milk, flavors other than fruit (1 5.3 oz container)",121.5,usda
290779,,"Yogurt, Greek, low fat milk, flavors other than fruit (1 6 oz container)",137.7,usda
290780,,"Yogurt, Greek, low fat milk, flavors other than fruit (1 container)",121.5,usda
290781,,"Yogurt, Greek, low fat milk, flavors other than fruit (1 cup)",198.5,usda
290783,,"Yogurt, Greek, nonfat milk, flavors other than fruit (1 5.3 oz container)",109.5,usda
290784,,"Yogurt, Greek, nonfat milk, flavors other than fruit (1 6 oz container)",124.1,usda
290785,,"Yogurt, Greek, nonfat milk, flavors other than fruit (1 container)",109.5,usda
290786,,"Yogurt, Greek, nonfat milk, flavors other than fruit (1 cup)",178.9,usda
290792,,"Yogurt, liquid (1 bottle)",111.0,usda
290793,,"Yogurt, liquid (1 cup)",181.3,usda
290795,,Yogurt tube (1 tube),60.8,usda
290817,,Frozen yogurt (1 cup),222.3,usda
290818,,Frozen yogurt (1 scoop),203.2,usda
290819,,Frozen yogurt (1 small ice cream cup),203.2,usda
290820,,Frozen yogurt (1 medium ice cream cup),406.4,usda
290821,,Frozen yogurt (1 large ice cream cup),609.6,usda
290823,,"Frozen yogurt, vanilla (1 cup)",222.3,usda
290824,,"Frozen yogurt, vanilla (1 scoop)",203.2,usda
290825,,"Frozen yogurt, vanilla (1 small ice cream cup)",203.2,usda
290826,,"Frozen yogurt, vanilla (1 medium ice cream cup)",406.4,usda
290827,,"Frozen yogurt, vanilla (1 large ice cream cup)",609.6,usda
290829,,"Frozen yogurt, chocolate (1 cup)",229.3,usda
290830,,"Frozen yogurt, chocolate (1 scoop)",209.6,usda
290831,,"Frozen yogurt, chocolate (1 small ice cream cup)",209.6,usda
290832,,"Frozen yogurt, chocolate (1 medium ice cream cup)",419.2,usda
290833,,"Frozen yogurt, chocolate (1 large ice cream cup)",628.8,usda
290835,,"Frozen yogurt, soft serve, vanilla (1 cup)",278.3,usda
290837,,"Frozen yogurt, soft serve, chocolate (1 cup)",280.0,usda
290841,,"Frozen yogurt bar, vanilla (1 bar)",82.6,usda
290843,,"Frozen yogurt bar, chocolate (1 bar)",85.2,usda
290845,,"Frozen yogurt cone, chocolate (1 cone)",177.5,usda
290847,,"Frozen yogurt cone, vanilla (1 cone)",173.8,usda
290849,,"Frozen yogurt cone, vanilla, waffle cone (1 cone)",364.7,usda
290851,,"Frozen yogurt cone, chocolate, waffle cone (1 cone)",374.9,usda
290866,,Chocolate milk (1 cup),161.2,usda
290867,,Chocolate milk (1 fl oz),20.2,usda
290868,,Chocolate milk (1 individual school container),161.2,usda
290870,,"Chocolate milk, whole (1 cup)",205.8,usda
290871,,"Chocolate milk, whole (1 fl oz)",25.7,usda
290872,,"Chocolate milk, whole (1 individual school container)",205.8,usda
290874,,"Chocolate milk, reduced fat (2%) (1 cup)",188.5,usda
290875,,"Chocolate milk, reduced fat (2%) (1 fl oz)",23.6,usda
290876,,"Chocolate milk, reduced fat (2%) (1 individual school container)",188.5,usda
290878,,"Chocolate milk, fat free (skim) (1 cup)",166.2,usda
290879,,"Chocolate milk, fat free (skim) (1 fl oz)",20.8,usda
290880,,"Chocolate milk, fat free (skim) (1 individual school container)",166.2,usda
290882,,"Chocolate milk, low fat (1%) (1 fl oz)",19.8,usda
290883,,"Chocolate milk, low fat (1%) (1 cup)",158.7,usda
290884,,"Chocolate milk, low fat (1%) (1 individual school container)",158.7,usda
290886,,"Chocolate milk, reduced sugar (1 cup)",161.2,usda
290887,,"Chocolate milk, reduced sugar (1 fl oz)",20.2,usda
290888,,"Chocolate milk, reduced sugar (1 individual school container)",161.2,usda
290890,,Hot chocolate / cocoa (1 cup),178.6,usda
290891,,Hot chocolate / cocoa (1 fl oz),22.3,usda
290905,,"Chocolate milk, Nesquik (1 cup)",183.5,usda
290906,,"Chocolate milk, Nesquik (1 fl oz)",22.9,usda
290911,,"Chocolate milk, reduced sugar, whole (1 cup)",181.0,usda
290912,,"Chocolate milk, reduced sugar, whole (1 fl oz)",22.6,usda
290914,,"Chocolate milk, reduced sugar, reduced fat (2%) (1 cup)",156.2,usda
290915,,"Chocolate milk, reduced sugar, reduced fat (2%) (1 fl oz)",19.5,usda
290917,,"Chocolate milk, reduced sugar, low fat (1%) (1 cup)",141.4,usda
290918,,"Chocolate milk, reduced sugar, low fat (1%) (1 fl oz)",17.7,usda
290920,,"Chocolate milk, reduced sugar, fat free (skim) (1 cup)",121.5,usda
290921,,"Chocolate milk, reduced sugar, fat free (skim) (1 fl oz)",15.2,usda
290970,,Strawberry milk (1 fl oz),20.2,usda
290971,,Strawberry milk (1 cup),161.2,usda
290972,,Strawberry milk (1 individual school container),161.2,usda
290974,,"Strawberry milk, whole (1 cup)",213.3,usda
290975,,"Strawberry milk, whole (1 fl oz)",26.7,usda
290976,,"Strawberry milk, whole (1 individual school container)",213.3,usda
290978,,"Strawberry milk, reduced fat (2%) (1 cup)",176.1,usda
290979,,"Strawberry milk, reduced fat (2%) (1 fl oz)",22.0,usda
290980,,"Strawberry milk, reduced fat (2%) (1 individual school container)",176.1,usda
290982,,"Strawberry milk, low fat (1%) (1 cup)",171.1,usda
290983,,"Strawberry milk, low fat (1%) (1 fl oz)",21.4,usda
290984,,"Strawberry milk, low fat (1%) (1 individual school container)",171.1,usda
290986,,"Strawberry milk, fat free (skim) (1 fl oz)",18.9,usda
290987,,"Strawberry milk, fat free (skim) (1 cup)",151.3,usda
